index,lower_description
0,"position summary, the business analyst role is the primary architect of reporting and dashboard solutions for internal and external clients. utilizing esi corporate standard development tools this position is responsible for the design, development, implementation, analysis, interpretation and communication of business information based on the needs of individual clients. the ability to balance overall aesthetics with robust and intuitive functionality is a critical requirement for success in this position. essential functions, successfully design and implement external client data reporting and dashboard solutions with a strong focus on product aesthetics and functionality. aid in the design, development, and implementation of new product ideas for external and internal clients. maintain live and data warehouse business objects universes; add new fields, modify table joins, implement data structures that streamline report extraction and data analysis. develop and document best practices for all points throughout the design and implementation process. coordinate and interface with account management and implementation teams to gather product design requirements and provide insight into capabilities and solutions. research and present new software and technology solutions to other internal developers, as well as management, to allow for the evaluation and potential integration of new development tools. qualifications, bachelor’s degree in related field or 8 to 11 years of experience. 2-5 years relevant experience with bachelor’s degree or master’s degree and 0-3 years of relevant experience. recent experience creating business objects xi reports. designing data visualization applications using sap xcelsius 2008 software. designing, implementing and maintaining data universe structures using business objects universe designer. sql, as400, adobe flex, flash experience preferred. creative problem solver. fundamental commitment to creating customer value through technical innovation. bachelor’s degree in related field or 8 to 11 years of experience. about the department, about express scripts, advance your career with the company that makes it easier for people to choose better health. express scripts is a leading healthcare company serving tens of millions of consumers. we are looking for individuals who are passionate, creative and committed to creating systems and service solutions that promote better health outcomes. join the company that fortune magazine ranked as one of the ""most admired companies"" in the pharmacy category. then, use your intelligence, creativity, integrity and hard work to help us enhance our products and services. we offer a highly competitive base salary and a comprehensive benefits program, including medical, prescription drug, dental, vision, 401k with company match, life insurance, paid time off, tuition assistance and an employee stock purchase plan. express scripts is an equal opportunity employer/disability/veteran"
1,"what do we need?, you to have an amazing personality and communication style. that you are super-organized and are a problem solver. that you take pride in everything that you do, and it shows. and most importantly that you have unquestionable integrity. why work for us?, we invest in our employees, and offer extensive training, and development programs to set you up for future success. if we sound like a fit, and you’re ready to start an exciting career with an organization that fosters employee growth, apply today! job description this position will be responsible for:, develop marketing, credit risk models, segmentation, and risk analytics perform all required tests and measures of developed models deliver comprehensive model documentation e.g. model development document, technical specification document of modeling projects understand and follow modeling procedures, credit policies, and deliver technical/regulatory documentation for internal/external reviews communicate technical information verbally and in writing to both technical and non-technical audiences, education, advanced degree masters or phd preferred in statistics, applied mathematics, operations research, statistics, economics, quantitative finance. mbas should apply only if they are interested in career in specialized quantitative risk management discipline, experience, entry level position. any experience in statistical modeling fields is preferred, skills, very strong knowledge of statistics methods and machine learning techniques strong numerical programming ability using a range of languages sas, r, python; working experience with sql detail-oriented with high degree of accuracy strong analytical, problem-solving and critical-thinking skills excellent verbal and written communication skills, benefits, medical / dental/ vision benefits available after 30 days of employment company paid life insurance paid holidays pto/ 401k / tuition reimbursement, all your information will be kept confidential according to eeo guidelines."
2,"validate, analyze, and conduct statistical analysis on data using analytical software excel, sql, and sas. analyze and define efficient, workable solutions that support client business processes and functional requirements for research projects. extract qualitative findings from large data sets. write reports that include effective graphs, tables, summaries, and narratives. develop and execute test cases to ensure data requirements have been met. research and resolve client-reported issues. interpret results, present findings, and recommend alternative solutions to research management and business decision makers. track daily industry news and disseminate relevant articles to management and team, bachelor degree in statistics, decision sciences, economics, physics, mathematics, or similar field required. 2 years of experience in the analytical field experience with sql, python or other programming language highly competent in data manipulation and critical thinking. intrinsic ability to look at data and identify patterns, problems, or analysis opportunities. knowledge of data mining and software applications. ability to distill large amounts of information into key findings. ability to clearly articulate research in written and verbal presentations with software developers, clients, management, and sales staff. data management experience with one or more data analysis packages e.g. spss, sas, stata, r required. experience with excel, including pivot tables, formulae, vlookups, and graphing strong organizational skills including the ability to multi-task and prioritize efficiently to meet deadlines. strong attention to detail and problem-solving skills. self-motivated, takes initiative, loves to learn, and continuously seeks new knowledge. strong documentation skills from both a business and technology perspective. effective troubleshooting and investigation skills to identify root cause of problems. proven ability to manage and perform multiple tasks under conditions of fluctuating workloads, competing requirements, and changing deadlines while maintaining accuracy; working independently and completing assignments with minimal direction. self-starter who is self-motivated, efficient, responsible, and dependable. experience in the television/media research industry is a plus. li-jz1, msja"
3,"full time, washington, dc metro area, starting salary: $56,698 - $76,377 $27.17 - $36.60 per hour, us citizenship required dual national us citizens are eligible, description, qualifications, how to apply, as a data scientist graduate intern for the cia, you will work side-by-side with other data scientists to organize and interpret data to inform us decision makers, drive successful operations, and shape technology and resource investments. through cia's global mission, the agency has access to unique and highly specialized data. you will work with advanced hardware, software, and techniques to develop computational algorithms and statistical methods to identify patterns and relationships in large volumes of data. data scientists clearly communicate their conclusions to a diverse audience and develop technical expertise via hands-on experience and continuous learning, including agency-sponsored training, academic conferences, and other professional development activities. the graduate studies program allows you and the agency to assess opportunities for permanent employment following your completion of graduate school. the directorate of digital innovation ddi is at the forefront of defining the future of digital expertise within the cia. ddi focuses on developing the workforce with cutting-edge skills, investing in it infrastructure, and modernizing the way the agency does business. ddi officers help accelerate the integration of innovative methods and tools to enhance the cia's cyber and digital capabilities on a global scale and ultimately help safeguard our nation. learn more about the directorate of digital innovation. click to watch the video on a separate page. in addition to a comprehensive benefits package, the cia offers exciting career opportunities and a dynamic environment. we're on the forefront of world-altering events – as they happen. so working here isn't just a job, it's a mindset and a lifestyle."
4,"assist in consultations with business partners and internal/external hr functional experts to develop and maintain hr dashboards, models and metrics. research national best practices for hr data analytics to make recommendations for our district. develop queries, validate and export data in various formats for hr dashboards/metrics, automating the delivery where possible. perform quantitative and qualitative data analysis to produce reports, assessments and proposals that will help organizational leaders make informed and data driven business decisions. maintain an up to date perspective of tools, practices, industry standards, national trends and system standards. customer focus - building strong customer relationships and delivering customer-centric solutions collaborates - building partnerships and working collaboratively with others to meet shared objectives tech savvy - utilizes market pricing and analytical tools available while continually seeking out emerging technologies persuades - uses compelling arguments to gain the support and commitment of others communicates effectively - develops and delivers multi-mode communications that convey a clear understanding of the unique needs of different audiences action oriented - taking on new opportunities and tough challenges with a sense of urgency, high energy, and enthusiasm resourcefulness - secures and deploys resources effectively and efficiently, bachelor’s degree in business, economics, mathematics, statistics or other related field of study experience using statistical software and data visualization tools microsoft office suite, specifically ms excel, experience required skilled using technology tools and digital platforms including r, tableau and human capital management hcm platforms excellent time management skills including multi-tasking, managing deadlines and providing project oversight excellent written, verbal and listening skills to effectively communicate with staff at all organizational levels strong problem solving and critical thinking skills ability to maintain trust and integrity when working with confidential situations and information ability to maintain composure under pressure ability to work collaboratively across a variety of business units within the organization. equivalent education and/or experience may be substituted for any of the above requirements"
5,"collecting and combining data from multiple sources uncovering and exploring anomalous data including metadata applying the scientific process to data evaluation, performing statistical inference, and data mining developing analytic plans, engineer supporting algorithms, and design and implement solutions which execute analytic plans. designing and developing tools and techniques for analysis analyzing data using mathematical/statistical methods evaluating, documenting, and communicating research processes, analyses, and results to customers, peers, and leadership creating interpretable visualizations, completed a degree program in the fields of mathematics, statistics, computer science, computational sciences, or a passion for rigorous analysis of data tenacity, integrity, persistence, and willingness to learn ability to solve complex problems use critical thinking and reasoning to make analytic determinations works effectively in a collaborative environment strong communications skills to both technical and non-technical audiences the desire to serve over 300 million fellow americans and make a difference in world events, the qualifications listed are the minimum acceptable to be considered for the position. salary offers are based on candidates' education level and years of experience relevant to the position and also take into account information provided by the hiring manager/organization regarding the work level for the position. the qualifications listed are the minimum acceptable to be considered for the position. salary offers are based on candidates' education level and years of experience relevant to the position and also take into account information provided by the hiring manager/organization regarding the work level for the position. the qualifications listed are the minimum acceptable to be considered for the position. salary offers are based on candidates' education level and years of experience relevant to the position and also take into account information provided by the hiring manager/organization regarding the work level for the position. the qualifications listed are the minimum acceptable to be considered for the position. salary offers are based on candidates' education level and years of experience relevant to the position and also take into account information provided by the hiring manager/organization regarding the work level for the position."
6,"with demand sensing, om partners is breaking through some boundaries of classical demand forecasting. the use of state of the art techniques like machine learning and neural networks allow for a step change in forecast accuracy, driving immediate value creation for our customers. by using these innovative functionalities, they are able to adjust their supply plans faster and more accurate. are you ready to join the demand driven revolution in supply chain? are you passionate about finding patterns and correlations? then apply for the position of data scientist and join our product development team. as a data scientist, you have only one aim: to provide innovative solutions for the customers’ challenging analytics and forecasting needs. you analyze their needs, design a prototype, develop the model and optimize your solution. you support the customer throughout the entire implementation schedule. you work in close collaboration with the customer’s project team and you consultant colleagues working on the same project. next to the project work you will be responsible for the design of solutions and the development of the products . you ensure that high-quality, well-tested and documented solutions are delivered. your challenge is to collect and formulate the business requirements and translate them into functional requirements that can easily be fed into a technical design. therefore, you work in close collaboration with the product manager and software engineers. you continuously improve the solutions and develop new functionalities. you validate these solutions and functionalities with the different stakeholders. you implement and test the developments. finally, you document the tools, and train and support your colleagues in the usage of the solution. you participate in pre-sales to demonstrate functionality that meets the prospects goals and objectives. strong analytical skills and problem solving abilities, complemented with a university degree, are indispensable in this job. you have an entrepreneurial mindset in looking for innovative solutions for our customers’ analytics and forecasting problems. you are passionate about finding patterns and looking for correlations in big datasets. you take incomplete data as a challenge and use qualitative techniques to bridge the gap. a solid background at least 5 year in applied statistics distributions, statistical testing, confidence intervals, machine learning, time series, … is required. you have practical experience with time series analysis and forecasting exponential smoothing, multivariate regression, arima, … to solve real-life business problems. you benefit from having experience in analyzing and implementing forecasting processes, as well as having working experience as an analyst or consultant for large multinational organizations. you are familiar with a statistical scripting language, preferably r. basic knowledge of relational databases and sql are a plus. you can present findings clearly to a non-technical audience, using different visualization techniques. you have an excellent command of at least two languages dutch, french, english or german. you are able to work autonomous and project based. you can connect with the different stakeholders. you are fun to work with and a great team player!, the forecasting team is located in our head office in wommelgem. depending on your experience - hence level of autonomy - it will be required to work from the head office . om partners is a software and consulting company focused on supply chain planning . as a company we have but one mission: to optimize our customer’s supply chain. we pride ourselves on developing innovative advanced planning systems aps that meet and exceed expectations. our customer base includes leading companies in different industries, such as arcelormittal, basf, dow, johnson &amp; johnson, michelin, shaw, procter &amp; gamble and smurfit kappa. are you the right person for the challenge?"
7,"masters degree in bioinformatics or three years’ experience and advanced degree in computer science, statistics, biology, or related discipline. experience with computer languages commonly used in scientific programming ex. c/c++, python, r, or similar languages. experience working in a unix/linux, command line environment specifically for bioinformatics data analyst demonstrated ability in analyzing high throughput sequencing data. must have a flexible and professional attitude towards working hours especially with regards to deadlines. ph.d. in computational biology, bioinformatics, systems biology, biostatistics or related discipline. three or more years of hands-on research experience with the analysis of high-throughput biological data analysis. possesses a sound knowledge of statistics and quantitative modeling, as well as solid computer programming skills. excellent ability to communicate verbally and in writing. ability to take direction and work efficiently and effectively within a team environment. ability to attend to detail and organize workload to complete complex tasks in a timely manner. working well with people from various organizational disciplines and with people who have varying degrees of technical experience."
8,"duties summary job description: data scientists develop and apply methods to identify, collect, process, and analyze large volumes of data to build and enhance products, processes, and systems. they conduct data mining and retrieval, and apply statistical and mathematical analyses to identify trends, solve analytical problems, optimize performance, and gather intelligence. they visualize information using a range of tools e.g. responsibilities additional information: the data &amp; visualization career service dvcs serves all of the national geospatial-intelligence agency's nga's data, visualization, and design professionals who in turn contribute to nga's missions supporting global events, disaster relief, and military operations. dvcs professionals deliver innovative and dynamic products and services that provide conveyance and context to nga analysis. the dvcs is seeking qualified applicants both entry-level and experts, for potential future nga requirements, in the fields below. please keep in mind that this will be used as a general repository, and that we will continue to post specific opportunity announcements when necessary. when applying, we ask that you reference any/all work roles you feel qualified for, and understand that you may be looked at for additional work roles if deemed appropriate. additionally, we ask that you please reference any materials given to you during your discussion with nga representatives if applicable. travel required occasional travel - occasional travel required supervisory status no promotion potential 3 job family series 1530 statistics requirements requirements conditions of employment us citizenship is required. designated or random drug testing required. security investigation special info: as a condition of employment at nga, persons being considered for employment must meet nga fitness for employment standards. u.s. citizenship required security clearance top secret/sensitive compartmented information polygraph test required position subject to drug testing two year probationary period direct deposit required special requirements: you must be able to obtain and retain a top secret security clearance with access to sensitive compartmented information. in addition, you are subject to a counterintelligence polygraph examination in order to maintain access to top secret information. all employees are subject to a periodic examination on a random basis in order to determine continued eligibility. refusal to take the examination may result in denial of access to top secret information, sap, and/or unescorted access to scifs. employees with sci access and who are under nga cognizance are required to submit a security financial disclosure report, sf-714, on an annual basis in order to determine continued eligibility. failure to comply may negatively impact continued access to top secret information, information systems, sap, and/or unescorted access to scifs. nga utilizes all processes and procedures of the defense civilian intelligence personnel system dcips. non-executive nga employees are assigned to five distinct pay bands based on the type and scope of work performed. the employee's base salary is established within their assigned pay band based on their unique qualifications. a performance pay process is conducted each year to determine a potential base pay salary increase and/or bonus. an employee's annual performance evaluation is a key factor in the performance pay process. employees on term or temporary appointments are not eligible to apply for internal assignment opportunity notices. this position is a dcips position in the excepted service under 10 u.s.c. 1601. dod components with dcips positions apply veterans' preference to preference eligible candidates as defined by section 2108 of title 5 usc, in accordance with the procedures provided in dod instruction 1400.25, volume 2005, dcips employment and placement. if you are an external applicant claiming veterans' preference, as defined by section 2108 of title 5 u.s.c. you must self-identify your eligibility in our erecruit application. qualifications mandatory qualification criteria: for this particular job, applicants must meet all competencies reflected under the mandatory qualification criteria to include education if required. online resumes must demonstrate qualification by providing specific examples and associated results, in response to the announcement's mandatory criteria specified in this vacancy announcement: 1. demonstrated ability to deconstruct customer challenges and identify appropriate problem-solving techniques to address complex business operations. 2. ability to script or code in languages such as python, javascript, r, c++ or other similar languages. 3. strong communication and interpersonal skills, including the ability to develop and present briefings to meet the needs of various audiences. desirable qualification criteria: in addition to the mandatory qualifications, experience in the following is desired: it is recommended to have at least 2 years of relevant experience, to include academia, to be considered at the pay band 3 level. a bachelor's degree in specific area of education or as a rule; every 30 semester 45 quarter hours of college work is equivalent to one year of experience. candidates should show that their combination of education and experience totals 4 years. education additional information how you will be evaluated you will be evaluated for this job based on how well you meet the qualifications above. applicants are not required to submit a cover letter. the entire cover letter cannot exceed the specified limits provided in the cover letter field 3,000 characters. pages exceeding this limit will not be considered. the cover letter is recommended but is not required for employment consideration with the national geospatial-intelligence agency. applicant evaluation process: applicants will be evaluated for this job opportunity in three stages: 1 all applicants will be evaluated using the mandatory qualification criteria, 2 qualified applicants will then be evaluated by an expert or panel of experts using a combination of qualification criteria to determine the best-qualified candidates, 3 best-qualified applicants may then be further evaluated through an interview process. applicants are encouraged to carefully review the assignment description, additional information provided by the selecting official, and the qualification requirements; and then construct their resumes to highlight their most relevant and significant experience and education for this job opportunity. this description should include examples that detail the level and complexity of the performed work. applicants are encouraged to provide any education information referenced in the announcement. if education is listed as a mandatory requirement, only degrees obtained from an institution accredited by an accrediting organization recognized by the secretary, us department of education will be accepted. as a condition of employment at nga, persons being considered for employment must meet nga fitness for employment standards. in accordance with section 9902h of title 5, united states code, annuitants reemployed in the department of defense shall receive full annuity and salary upon appointment. they shall not be eligible for retirement contributions, participation in the thrift savings plan, or a supplemental or redetermined annuity for the reemployment period. discontinued service retirement annuitants i.e. retired under section 8336d1 or 8414b1a of title 5, united states code appointed to the department of defense may elect to be subject to retirement provisions of the new appointment as appropriate. see dod instruction 1400.25, volume 300, at http://www.dtic.mil/whs/directives. all candidates will be considered without regard to race, color, religion, sex, national origin, age, marital status, disability, or sexual orientation. nga provides reasonable accommodations to applicants with disabilities. applications will only be accepted online. if you need a reasonable accommodation for any part of the application and hiring process, please notify us at recruitment@nga.mil. the decision on granting reasonable accommodation will be on a case-by-case basis. background checks and security clearance security clearance top secret/sci drug test required yes required documents required documents none if you are relying on your education to meet qualification requirements: education must be accredited by an accrediting institution recognized by the u.s. department of education in order for it to be credited towards qualifications. therefore, provide only the attendance and/or degrees from schools accredited by accrediting institutions recognized by the u.s. department of education . failure to provide all of the required information as stated in this vacancy announcement may result in an ineligible rating or may affect the overall rating. benefits benefits review our benefits, job description: data scientists develop and apply methods to identify, collect, process, and analyze large volumes of data to build and enhance products, processes, and systems. they conduct data mining and retrieval, and apply statistical and mathematical analyses to identify trends, solve analytical problems, optimize performance, and gather intelligence. they visualize information using a range of tools e.g., additional information: the data &amp; visualization career service dvcs serves all of the national geospatial-intelligence agency's nga's data, visualization, and design professionals who in turn contribute to nga's missions supporting global events, disaster relief, and military operations. dvcs professionals deliver innovative and dynamic products and services that provide conveyance and context to nga analysis. the dvcs is seeking qualified applicants both entry-level and experts, for potential future nga requirements, in the fields below. please keep in mind that this will be used as a general repository, and that we will continue to post specific opportunity announcements when necessary. when applying, we ask that you reference any/all work roles you feel qualified for, and understand that you may be looked at for additional work roles if deemed appropriate. additionally, we ask that you please reference any materials given to you during your discussion with nga representatives if applicable. occasional travel - occasional travel required, no, 3, 1530 statistics, requirements, us citizenship is required. designated or random drug testing required. security investigation, u.s. citizenship required security clearance top secret/sensitive compartmented information polygraph test required position subject to drug testing two year probationary period direct deposit required, special requirements: you must be able to obtain and retain a top secret security clearance with access to sensitive compartmented information. in addition, you are subject to a counterintelligence polygraph examination in order to maintain access to top secret information. all employees are subject to a periodic examination on a random basis in order to determine continued eligibility. refusal to take the examination may result in denial of access to top secret information, sap, and/or unescorted access to scifs. employees with sci access and who are under nga cognizance are required to submit a security financial disclosure report, sf-714, on an annual basis in order to determine continued eligibility. failure to comply may negatively impact continued access to top secret information, information systems, sap, and/or unescorted access to scifs. nga utilizes all processes and procedures of the defense civilian intelligence personnel system dcips. non-executive nga employees are assigned to five distinct pay bands based on the type and scope of work performed. the employee's base salary is established within their assigned pay band based on their unique qualifications. a performance pay process is conducted each year to determine a potential base pay salary increase and/or bonus. an employee's annual performance evaluation is a key factor in the performance pay process. employees on term or temporary appointments are not eligible to apply for internal assignment opportunity notices. this position is a dcips position in the excepted service under 10 u.s.c. 1601. dod components with dcips positions apply veterans' preference to preference eligible candidates as defined by section 2108 of title 5 usc, in accordance with the procedures provided in dod instruction 1400.25, volume 2005, dcips employment and placement. if you are an external applicant claiming veterans' preference, as defined by section 2108 of title 5 u.s.c. you must self-identify your eligibility in our erecruit application. mandatory qualification criteria: for this particular job, applicants must meet all competencies reflected under the mandatory qualification criteria to include education if required. online resumes must demonstrate qualification by providing specific examples and associated results, in response to the announcement's mandatory criteria specified in this vacancy announcement: 1. demonstrated ability to deconstruct customer challenges and identify appropriate problem-solving techniques to address complex business operations. 2. ability to script or code in languages such as python, javascript, r, c++ or other similar languages. 3. strong communication and interpersonal skills, including the ability to develop and present briefings to meet the needs of various audiences. desirable qualification criteria: in addition to the mandatory qualifications, experience in the following is desired: it is recommended to have at least 2 years of relevant experience, to include academia, to be considered at the pay band 3 level. a bachelor's degree in specific area of education or as a rule; every 30 semester 45 quarter hours of college work is equivalent to one year of experience. candidates should show that their combination of education and experience totals 4 years. you will be evaluated for this job based on how well you meet the qualifications above. applicants are not required to submit a cover letter. the entire cover letter cannot exceed the specified limits provided in the cover letter field 3,000 characters. pages exceeding this limit will not be considered. the cover letter is recommended but is not required for employment consideration with the national geospatial-intelligence agency. applicant evaluation process: applicants will be evaluated for this job opportunity in three stages: 1 all applicants will be evaluated using the mandatory qualification criteria, 2 qualified applicants will then be evaluated by an expert or panel of experts using a combination of qualification criteria to determine the best-qualified candidates, 3 best-qualified applicants may then be further evaluated through an interview process. applicants are encouraged to carefully review the assignment description, additional information provided by the selecting official, and the qualification requirements; and then construct their resumes to highlight their most relevant and significant experience and education for this job opportunity. this description should include examples that detail the level and complexity of the performed work. applicants are encouraged to provide any education information referenced in the announcement. if education is listed as a mandatory requirement, only degrees obtained from an institution accredited by an accrediting organization recognized by the secretary, us department of education will be accepted. as a condition of employment at nga, persons being considered for employment must meet nga fitness for employment standards. in accordance with section 9902h of title 5, united states code, annuitants reemployed in the department of defense shall receive full annuity and salary upon appointment. they shall not be eligible for retirement contributions, participation in the thrift savings plan, or a supplemental or redetermined annuity for the reemployment period. discontinued service retirement annuitants i.e. retired under section 8336d1 or 8414b1a of title 5, united states code appointed to the department of defense may elect to be subject to retirement provisions of the new appointment as appropriate. see dod instruction 1400.25, volume 300, at http://www.dtic.mil/whs/directives. all candidates will be considered without regard to race, color, religion, sex, national origin, age, marital status, disability, or sexual orientation. nga provides reasonable accommodations to applicants with disabilities. applications will only be accepted online. if you need a reasonable accommodation for any part of the application and hiring process, please notify us at recruitment@nga.mil. the decision on granting reasonable accommodation will be on a case-by-case basis. top secret/sci, yes, required documents, none, education must be accredited by an accrediting institution recognized by the u.s. department of education in order for it to be credited towards qualifications. therefore, provide only the attendance and/or degrees from schools accredited by accrediting institutions recognized by the u.s. department of education . failure to provide all of the required information as stated in this vacancy announcement may result in an ineligible rating or may affect the overall rating. benefits, review our benefits"
9,"the department of epidemiology at the university of pittsburgh’s graduate school of public health is seeking a qualified data scientist. the data scientist will work to improve existing data management systems, provide reporting support, and conduct analyses. duties of the incumbent include developing and implementing programs to process and manipulate large datasets, writing queries for extracting data, preparing reports with both tabular and graphical presentations, and developing statistical and mathematical models. the candidate will be responsible for analysis, design, testing, documentation, and evidence of efficacy. the candidate must have experience working within a team environment, yet independently be able to work on multiple projects simultaneously, and work well under pressure to meet deadlines. the incumbent must be proficient in report generation, query writing, databases, and data visualization. in addition, the candidate must have experience designing, conducting, and interpreting statistical analyses using common statistical software tools e.g. sas, r, spss, python and techniques e.g. regression modeling, survival analysis, machine learning, data mining, clustering. master’s degree in biostatistics, statistics, data science, mathematics, information science, data sciences, or related field with at least 5 years of experience in data analysis, database management, or information technology; or a doctoral degree in biostatistics, statistics, epidemiology, data science, mathematics, information science, data sciences, or related field; or some combination of related experience and graduate education required. the following pa act 153 clearances and background checks may be required prior to commencement of employment and as a condition of continued employment: pa state police criminal record check, fbi criminal record check, pa child abuse history clearance. education benefits and a retirement plan with employer match, group medical insurance, life insurance, and optional vision and dental insurance, free transit service within allegheny county for employees of the oakland campus port authority transit, time off benefits including vacation, sick and personal time"
