phrase,skill
with cloud,0
work,0
digital products,0
computer science/engineering,1
universities,0
generate reports,1
wide range,0
r,1
director- senior technical leader,0
solving,0
mining/data,1
variant cells,0
interact,0
"intelligence /visualization , databases ,",1
nlp tools,1
delivery,0
convenient office locations,0
is,0
years,0
business strategies,1
dissemination,0
about express scripts,0
using web services i.e,0
clients,0
both direct reports,0
design,1
medical condition,0
analysis,1
performs,0
scientist role,0
ability,1
the senior data scientist,0
are,0
vacation,0
conducts,0
complex data,0
octane lending,0
business operations,1
software development,1
"service excellence , change management , quality assurance",1
with various software programs,0
partners,0
preparation,0
make,0
python,1
world-class enterprise data,0
warehouse,1
"r , sas , stata",1
love,0
software,0
computer science,0
data,0
investigations,0
daily basis design efficient data,0
avid center,0
customized analytics,1
drive informed business decisions,1
validate information,1
process,0
neural networks,1
code management,1
experience,0
patients,0
believes,0
support,0
workflows,0
cognos,0
practices/standards,0
relational sql,1
s,0
hire,0
job level,0
facility,0
some candidates,0
strong relationships,0
functional designs,0
the diversity,0
analytics,1
nde techniques,0
questions,0
current workflows,0
be,0
provide analysis,1
in san francisco,0
a diverse set,0
potential,0
infrastructure linux python,1
information,0
similar technical field,0
related signal processing concepts,1
customers,0
for patterns,0
for developers,0
degree,0
security,0
byproducts,0
the business development teams,0
on key metrics,0
years presentation,0
equipment,0
"age , color ,",0
consider,0
large data sets,1
new data product features,0
compare model performances,1
production,0
a day,0
provide feedback,0
everything,0
solutions,0
gender identity,0
of job duties,0
benefits,0
other development,0
ggplot2,1
innovation,1
real world problems,0
group,0
a good understanding,0
engineering,1
define,0
procedures,0
workflow scheduler systems,1
helping,1
", physics ,",0
metrics extracts,0
process design,1
skills,0
human behavior,0
optimization experience,0
greenplum,0
machine learning,1
in class platforms,0
the big data space,0
broad range,0
across lines,0
in actual business impact,0
capacity management,0
approaches,0
with microsoft products,1
the power,0
artificial intelligence,0
data science retrospectives,0
a state,0
environment,0
for millions,0
linux,1
education and/or experience,0
exercise software development,1
games,0
asks,0
pay,0
user,0
a detailed project plan,0
equal opportunity employer,0
